composer,piece,piece_url,piece_item_code,movie
"ADAM, ADOLPHE",Giselle: Apparition de Giselle,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,8.550755-56,Red Shoes (The) (1948)
"ADAM, ADOLPHE","Giselle: Entree d'Hilarion, scene et fugue des Wilis",https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,8.550755-56,Red Shoes (The) (1948)
"ADAM, ADOLPHE",Giselle: Pas de deux des jeunes paysans,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,8.550755-56,Red Shoes (The) (1948)
"ADAM, ADOLPHE",Giselle: Pas des premieres Wilis,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,8.550755-56,Red Shoes (The) (1948)
"ADAMS, JOHN",China Gates,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,8.559285,Call Me by Your Name (2017)
"ADAMS, JOHN",Hallelujah Junction,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,8.559285,Call Me by Your Name (2017)
"ADAMS, JOHN",Harmonium: No. 3. Wild Nights,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,603497121168,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
"ADAMS, JOHN",Phrygian Gates,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,8.559285,Call Me by Your Name (2017)
"ADAMS, JOHN",The Death of Klinghoffer: Chorus of the Exiled Palestinians,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,603497121168,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
"ALBENIZ, ISAAC",Asturias,https://www.naxos.com/catalogue/item.asp?item_code=8.553999,8.553999,Talk of Angels (1998)
"ALBENIZ, ISAAC","Chant d'Espagne, Op. 232: No. 4. Cordoba",https://www.naxos.com/catalogue/item.asp?item_code=ODE752-2,ODE752-2,Girlfight (2000)
"ALBINONI, TOMASO GIOVANNI",Adagio,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,8.550014,Doors (The) (1991)
"ALBINONI, TOMASO GIOVANNI",Adagio,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,8.550014,Gallipoli (1981)
"ALBINONI, TOMASO GIOVANNI",Adagio,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,8.550014,Inbetweeners 2 (The) (2014)
"ALBINONI, TOMASO GIOVANNI",Adagio,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,8.550014,Rio das Mortes (1971)
"ALBINONI, TOMASO GIOVANNI",Adagio,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,8.550014,Rollerball (1975)
"ALBINONI, TOMASO GIOVANNI",Adagio,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,8.550014,Welcome to Sarajevo (1997)
"ALBINONI, TOMASO GIOVANNI","Oboe Concerto in B-flat major, Op. 9, No. 11",https://www.naxos.com/catalogue/item.asp?item_code=8.550739,8.550739,Elle (2016)
"ALBINONI, TOMASO GIOVANNI","Oboe Concerto in C major, Op. 7, No. 12",https://www.naxos.com/catalogue/item.asp?item_code=8.553035,8.553035,Peter Rabbit (2018)
"ALFVEN, HUGO",Swedish Rhapsody No. 1,https://www.naxos.com/catalogue/item.asp?item_code=8.550090,8.550090,Young Poisoner's Handbook (The) (1995)
"ALLEGRI, GREGORIO",Miserere mei,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,8.550827,Anatomy (2000)
"ALLEGRI, GREGORIO",Miserere mei,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,8.550827,Angela's Ashes
"ALLEGRI, GREGORIO",Miserere mei,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,8.550827,Chariots of Fire
"ALLEGRI, GREGORIO",Miserere mei,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,8.550827,Face/Off (1997)
"ALLEGRI, GREGORIO",Miserere mei,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,8.550827,Maurice (1987)
"ALLEGRI, GREGORIO",Miserere mei,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,8.550827, Tout nouveau testament (Le) aka The Brand New Testament (2015)
"ANDERSON, LEROY",Sleigh Ride,https://www.naxos.com/catalogue/item.asp?item_code=8.559125,8.559125,"Girl, Interrupted (1999)"
"ARNE, THOMAS AUGUSTINE",Rule Brittania,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,8.553961,Alphabet Murders (The) (1965)
