composerNameFull,pieceName,pieceCode,pieceURL,pieceMovies
"ADAM, ADOLPHE",Giselle: Apparition de Giselle,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,Red Shoes (The) (1948)
"ADAM, ADOLPHE","Giselle: Entree d'Hilarion, scene et fugue des Wilis",8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,Red Shoes (The) (1948)
"ADAM, ADOLPHE",Giselle: Pas de deux des jeunes paysans,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,Red Shoes (The) (1948)
"ADAM, ADOLPHE",Giselle: Pas des premieres Wilis,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,Red Shoes (The) (1948)
"ADAMS, JOHN",China Gates,8.559285,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,Call Me by Your Name (2017)
"ADAMS, JOHN",Hallelujah Junction,8.559285,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,Call Me by Your Name (2017)
"ADAMS, JOHN",Harmonium: No. 3. Wild Nights,603497121168,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
"ADAMS, JOHN",Phrygian Gates,8.559285,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,Call Me by Your Name (2017)
"ADAMS, JOHN",The Death of Klinghoffer: Chorus of the Exiled Palestinians,603497121168,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
"ALBENIZ, ISAAC",Asturias,8.553999,https://www.naxos.com/catalogue/item.asp?item_code=8.553999,Talk of Angels (1998)
"ALBENIZ, ISAAC","Chant d'Espagne, Op. 232: No. 4. Cordoba",ODE752-2,https://www.naxos.com/catalogue/item.asp?item_code=ODE752-2,Girlfight (2000)
"ALBINONI, TOMASO GIOVANNI",Adagio,8.550014,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,Doors (The) (1991)  Gallipoli (1981)  Inbetweeners 2 (The) (2014)  Rio das Mortes (1971)  Rollerball (1975)  Welcome to Sarajevo (1997)
"ALBINONI, TOMASO GIOVANNI","Oboe Concerto in B-flat major, Op. 9, No. 11",8.550739,https://www.naxos.com/catalogue/item.asp?item_code=8.550739,Elle (2016)
"ALBINONI, TOMASO GIOVANNI","Oboe Concerto in C major, Op. 7, No. 12",8.553035,https://www.naxos.com/catalogue/item.asp?item_code=8.553035,Peter Rabbit (2018)
"ALFVEN, HUGO",Swedish Rhapsody No. 1,8.550090,https://www.naxos.com/catalogue/item.asp?item_code=8.550090,Young Poisoner's Handbook (The) (1995)
"ALLEGRI, GREGORIO",Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,Anatomy (2000)  Angela's Ashes  Chariots of Fire  Face/Off (1997)  Maurice (1987)
