composerName,readableComposerName,composerLastName,composerFirstName,musicPiece,itemCode,pieceURL,movieYear,movieTitle
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,Giselle: Apparition de Giselle,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,"Giselle: Entree d'Hilarion, scene et fugue des Wilis",8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,Giselle: Pas de deux des jeunes paysans,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,Giselle: Pas des premieres Wilis,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,Giselle: Apparition de Giselle,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,"Giselle: Entree d'Hilarion, scene et fugue des Wilis",8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,Giselle: Pas de deux des jeunes paysans,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAM, ADOLPHE",Adolphe Adam,Adam, Adolphe,Giselle: Pas des premieres Wilis,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,1948,"Red Shoes, The "
"ADAMS, JOHN",John Adams,Adams, John,Harmonium: No. 3. Wild Nights,6.03497E+11,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,2014,Birdman: Or (The Unexpected Virtue of Ignorance) 
"ADAMS, JOHN",John Adams,Adams, John,The Death of Klinghoffer: Chorus of the Exiled Palestinians,6.03497E+11,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,2014,Birdman: Or (The Unexpected Virtue of Ignorance) 
"ADAMS, JOHN",John Adams,Adams, John,Harmonium: No. 3. Wild Nights,6.03497E+11,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,2014,Birdman: Or (The Unexpected Virtue of Ignorance) 
