composerNameFull,pieceName,pieceCode,pieceURL,pieceMovies
"ADAM, ADOLPHE",Giselle: Apparition de Giselle,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,<i>Red Shoes (The) (1948)</i>
"ADAM, ADOLPHE","Giselle: Entree d'Hilarion, scene et fugue des Wilis",8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,<i>Red Shoes (The) (1948)</i>
"ADAM, ADOLPHE",Giselle: Pas de deux des jeunes paysans,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,<i>Red Shoes (The) (1948)</i>
"ADAM, ADOLPHE",Giselle: Pas des premieres Wilis,8.550755-56,https://www.naxos.com/catalogue/item.asp?item_code=8.550755-56,<i>Red Shoes (The) (1948)</i>
"ADAMS, JOHN",China Gates,8.559285,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,<i>Call Me by Your Name (2017)</i>
"ADAMS, JOHN",Hallelujah Junction,8.559285,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,<i>Call Me by Your Name (2017)</i>
"ADAMS, JOHN",Harmonium: No. 3. Wild Nights,603497121168,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,<i>Birdman: Or (The Unexpected Virtue of Ignorance) (2014)</i>
"ADAMS, JOHN",Phrygian Gates,8.559285,https://www.naxos.com/catalogue/item.asp?item_code=8.559285,<i>Call Me by Your Name (2017)</i>
"ADAMS, JOHN",The Death of Klinghoffer: Chorus of the Exiled Palestinians,603497121168,https://naxosmusiclibrary.com/catalogue/item.asp?cid=603497121168,<i>Birdman: Or (The Unexpected Virtue of Ignorance) (2014)</i>
"ALBENIZ, ISAAC",Asturias,8.553999,https://www.naxos.com/catalogue/item.asp?item_code=8.553999,<i>Talk of Angels (1998)</i>
"ALBENIZ, ISAAC","Chant d'Espagne, Op. 232: No. 4. Cordoba",ODE752-2,https://www.naxos.com/catalogue/item.asp?item_code=ODE752-2,<i>Girlfight (2000)</i>
"ALBINONI, TOMASO GIOVANNI",Adagio,8.550014,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,<i>Doors (The) (1991) <br/> Gallipoli (1981) <br/> Inbetweeners 2 (The) (2014) <br/> Rio das Mortes (1971) <br/> Rollerball (1975) <br/> Welcome to Sarajevo (1997)</i>
"ALBINONI, TOMASO GIOVANNI","Oboe Concerto in B-flat major, Op. 9, No. 11",8.550739,https://www.naxos.com/catalogue/item.asp?item_code=8.550739,<i>Elle (2016)</i>
"ALBINONI, TOMASO GIOVANNI","Oboe Concerto in C major, Op. 7, No. 12",8.553035,https://www.naxos.com/catalogue/item.asp?item_code=8.553035,<i>Peter Rabbit (2018)</i>
"ALFVEN, HUGO",Swedish Rhapsody No. 1,8.550090,https://www.naxos.com/catalogue/item.asp?item_code=8.550090,<i>Young Poisoner's Handbook (The) (1995)</i>
"ALLEGRI, GREGORIO",Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,<i>Anatomy (2000) <br/> Angela's Ashes <br/> Chariots of Fire <br/> Face/Off (1997) <br/> Maurice (1987)</i>
"ANDERSON, LEROY",Sleigh Ride,8.559125,https://www.naxos.com/catalogue/item.asp?item_code=8.559125,"<i>Girl, Interrupted (1999)</i>"
"ARNE, THOMAS AUGUSTINE",Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,<i>Alphabet Murders (The) (1965) <br/> BFG (The) (2016) <br/> Charge of the Light Brigade (The) <br/> Into the Arms of Strangers (2007) <br/> Minions (2015) <br/> Three Men and a Little Lady (1990)</i>
"BACH, CARL PHILIPP EMANUEL","Keyboard Sonata in E Major, Wq. 48/3, H. 26, ""Prussian Sonata No. 3""",8.572674,https://www.naxos.com/catalogue/item.asp?item_code=8.572674,<i>Casanova (2015)</i>
"BACH, JOHANN CHRISTIAN",Sinfonia in E-flat major: II. Andante con sordini,8.553085,https://www.naxos.com/catalogue/item.asp?item_code=8.553085,<i>Vertigo (1958)</i>
"BACH, JOHANN CHRISTIAN",String Quartet in B-flat major: II. Rondeau,8.557361,https://www.naxos.com/catalogue/item.asp?item_code=8.557361,<i>Only You (1994)</i>
"BACH, JOHANN SEBASTIAN","Anna Magdalena Notenbuch (Clavier-Buchlein III): Bist du bei mir, BWV 508 (attrib. G.H. Stolzel)",8.553751,https://www.naxos.com/catalogue/item.asp?item_code=8.553751,<i>Gotter der Pest (Gods of the Plague) (1970)</i>
"BACH, JOHANN SEBASTIAN",Ave Maria,8.553751,https://www.naxos.com/catalogue/item.asp?item_code=8.553751,<i>28 Days Later (2002) <br/> Mad Dogs and Englishmen (1995)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 1 in F major, BWV 1046: I. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Rounders (1988) <br/> Running on Empty</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 1 in F major, BWV 1046: III. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Rounders (1988)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 2 in F major, BWV 1047",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Romy and Michele's High School Reunion (1997)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 2 in F major, BWV 1047: II. Andante",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Black and White (1999) <br/> Island of Dr Moreau (The)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 3 in G major, BWV 1048",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Boxing Helena (1993)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 3 in G major, BWV 1048: I. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Die Hard (1988) <br/> Hannibal (2001) <br/> Lucky Break <br/> Moll Flanders (1996) <br/> Romy and Michele's High School Reunion (1997)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 3 in G major, BWV 1048: III. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Romy and Michele's High School Reunion (1997) <br/> Spotlight (2015)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 4 in G major, BWV 1049",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,<i>High-Rise (2015)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 4 in G major, BWV 1049: I. Allegro",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,<i>Cruel Intentions (1999) <br/> Miracle (2004)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 4 in G Major, BWV 1049: II. Andante",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,<i>Enigma (2001)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 4 in G major, BWV 1049: III. Presto",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,<i>Slaughterhouse Five (1972)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 5 in D major, BWV 1050: I. Allegro",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,<i>American President (The) (1995)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 6 in B-flat major, BWV 1051 : I. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Mistress (1992)</i>
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 6 in B-flat major, BWV 1051 : III. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,<i>Bridge Too Far (A) (1977)</i>
"BACH, JOHANN SEBASTIAN","Cantata, BWV 56: Komm, o Tod, du Schlafes Bruder",C67190,https://www.naxos.com/catalogue/item.asp?item_code=C67190,<i>Pelican Brief (1993)</i>
